Vendor_ID,Vendor_Name,Country,Tax_ID,Bank_Account,Email,Phone,Address,Payment_Terms,Category,Active_Flag
V2416,SILVERLINE SECURITY SERVICES,MY,,532068-20-196729,,+60 17-319 8309,,,Utility,Y
V2018,Skyline Telecom Services,MY,,824586-29-672092,,+60 18-251 8041,,NET-45,Utilities,Y
V2496,cloudnine software pte ltd,SG,SG-66641896,,billing@cloudnine.software.pte.l.finance-vendors.net,+65 6668 7554,"66, Jalan Setia, Johor Bahru",N30,Software / Subscription,Y
V2210,METRO MAINTENANCE CO.,MY,MY-2924568778,568784-50-224473,billing@metro.maintenance.co.example.com,,"143, Jalan Kenari, Kuala Lumpur",Net30,Maint/Repair,Y
V2016,Crescent Media House,MY,MY-7676965974,208618-27-377312,,,"70, Jalan Melur, George Town",30 Days,Logistics,Y
V2104,BlueWave Marketing Agency,MY,MY-5895322075,434002-30-512042,billing@bluewave.marketing.agenc.bizmail.co,+60 18-948 9351,"182, Jalan Kenari, Petaling Jaya",COD,Marketing / Advertising,Y
V2117, AquaPure Water Filters ,MY,MY-2947476917,578987-82-160541,billing@aquapure.water.filters.bizmail.co,+60 16-360 1049,"149, Jalan Meranti, Kuala Lumpur",Immediate,Maintenance / Repairs,Y
V2129,NORTHSTAR LOGISTICS,MY,MY-2034953269,364679-55-380310,billing@northstar.logistics.example.com,+60 16-570 4984,"58, Jalan Melur, Cyberjaya",Net30,Logistics / Delivery,Y
V2316,SilverLine Security Services,MY,MY-6718809037,936997-47-403257,,+60 19-867 5981,"145, Jalan Melur, Kuala Lumpur",COD,Professional Services,Y
V2082,AquaPure Water Filters,MY,MY-3597009738,154714-92-603935,billing@aquapure.water.filters.example.com,+60 18-971 3042,"196, Jalan Kenanga, Petaling Jaya",COD,Maintenance / Repairs,N
V2217,Skyline Telecom Services,MY,MY-2943878598,808340-81-335203,billing@skyline.telecom.services.finance-vendors.net,+60 14-809 1769,"100, Jalan Damai, Cyberjaya",Net 45,Utilities,Y
V2346,northstar logistics,MY,MY-3993944892,314178-76-757746,,+60 18-235 8764,"114, Jalan Setia, Cyberjaya",NET 30,Logistics / Delivery,Y
V2203,Harbor Freight & Couriers,MY,,753050-87-834764,,+60 11-623 2928,"28, Jalan Damai, Shah Alam",30 Days,Maint/Repair,Y
V2319,GreenLeaf Professional Services,MY,MY-2482088956,892182-24-155074,,+60 14-587 9724,,Immediate,Utility,Y
V2108,EverClean Facility Management,MY,MY-8394492221,,billing@everclean.facility.manag.finance-vendors.net,+60 16-938 6654,"38, Jalan Melur, Kuala Lumpur",NET-45,Maintenance / Repairs,Y
V2237,Sunrise Utilities BHD,MY,MY-9256438734,172187-39-496583,billing@sunrise.utilities.berhad.example.com,,"130, Jalan Setia, Johor Bahru",N30,Utilities,Y
V2241,Skyline Telecom Services,MY,MY-7678293431,,billing@skyline.telecom.services.bizmail.co,+60 16-853 3262,"169, Jalan Meranti, Cyberjaya",30 Days,Utilities,Y
V2348,Peninsula Printing & Stationery,MY,,,billing@peninsula.printing.stati.vendor-mail.com,+60 14-286 3873,"178, Jalan Setia, Shah Alam",N30,Office Supplies,Y
V2400,BrightSpark  Electrical  Services,MY,MY-6573353634,577100-95-571804,billing@brightspark.electrical.s.bizmail.co,+60 12-316 4032,,NET-45,Maintenance / Repairs,N
V2406,Crescent Media House,MY,MY-8350343413,973548-96-784196,billing@crescent.media.house.finance-vendors.net,+60 12-736 4394,"192, Jalan Meranti, Cyberjaya",COD,Marketing / Advertising,Y
V2097,AquaPure Water Filters,MY,MY-2076341629,677599-45-231250,billing@aquapure.water.filters.example.com,+60 12-706 3526,,Net 45,Maintenance / Repairs,Y
V2423,Zenith Catering,MY,,668096-31-399212,,+60 11-257 6026,"174, Jalan Kenanga, Kuala Lumpur",Net 45,Other / Unclear,Y
V2444,Vanguard Office Supplies Sdn Bhd,MY,,216359-53-320449,billing@vanguard.office.supplies.vendor-mail.com,+60 15-776 3807,"160, Jalan Damai, Cyberjaya",Net30,Office Supplies,Y
V2434,TealTech Solutions Sdn. Bhd,MY,MY-7581652053,510893-34-450964,,+60 10-855 4696,"109, Jalan Meranti, Shah Alam",30 Days,Software,Y
V2024, SilverLine Security Services ,MY,MY-7490442894,934692-31-790855,,+60 19-443 2530,"193, Jalan Kenanga, Cyberjaya",NET-45,Professional Services,Y
V2280, Skyline Telecom Services ,MY,MY-5261905194,800722-12-494900,billing@skyline.telecom.services.example.com,+60 10-390 4288,"159, Jalan Melur, Kuala Lumpur",COD,Utilities,Y
V2336,TealTech Solutions Sdn Bhd,MY,MY-2224342797,450533-88-944264,billing@tealtech.solutions.sdn.b.finance-vendors.net,,"138, Jalan Kenanga, Shah Alam",NET 30,Software / Subscription,Y
V2284,Omega Energy Solutions,MY,MY-5888143707,649249-27-550955,billing@omega.energy.solutions.vendor-mail.com,+60 19-261 6201,,,Utilities,Y
V2363,omega energy solutions,MY,MY-5113495206,,billing@omega.energy.solutions.finance-vendors.net,+60 18-333 7677,,Net 45,Office supply,Y
V2405,Harbor Freight & Couriers,MY,MY-5567743118,537400-70-222621,billing@harbor.freight.couriers.bizmail.co,+60 16-121 3643,"50, Jalan Damai, Petaling Jaya",COD,Logistics / Delivery,Y
V2338,harbor freight & couriers,MY,,286710-59-491627,,+60 15-376 4313,"9, Jalan Setia, George Town",NET 30,Logistics / Delivery,Y
V2419,RapidFix IT Services,MY,MY-1613619380,542244-16-419987,billing@rapidfix.it.services.vendor-mail.com,+60 17-102 3004,"18, Jalan Meranti, Johor Bahru",COD,Marketing,N
V2025,Vanguard Office Supplies Sdn Bhd,MY,,991014-19-577538,billing@vanguard.office.supplies.vendor-mail.com,+60 16-606 7547,,NET 30,Office Supplies,N
V2121,AquaPure Water Filters,MY,,704095-50-705526,billing@aquapure.water.filters.bizmail.co,+60 12-776 9540,,NET-45,Maintenance / Repairs,Y
V2141,HARBOR FREIGHT & COURIERS,MY,,248557-54-427040,billing@harbor.freight.couriers.vendor-mail.com,+60 15-587 2599,"179, Jalan Damai, Petaling Jaya",Net30,Logistics / Delivery,Y
V2026,metro maintenance co.,MY,MY-2995226582,989545-25-578634,,+60 18-672 6198,"114, Jalan Kenari, Cyberjaya",,Utility,Y
V2482,BrightSpark Electrical Services,MY,MY-3004903816,221297-71-794830,billing@brightspark.electrical.s.vendor-mail.com,+60 11-208 8125,"8, Jalan Kenanga, Petaling Jaya",Immediate,Maint/Repair,Y
V2257,skyline telecom services,MY,MY-7587552692,605048-79-338161,billing@skyline.telecom.services.finance-vendors.net,+60 16-366 3551,"1, Jalan Kenari, Shah Alam",Net 45,Prof Services,Y
V2355,Peninsula Printing & Stationery,MY,MY-2990510491,,,+60 17-227 5713,"126, Jalan Setia, Cyberjaya",30 Days,Office Supplies,Y
V2052,AlphaOmega Consulting,MY,MY-8556573246,137642-89-171744,billing@alphaomega.consulting.bizmail.co,+60 11-544 2612,"181, Jalan Meranti, Johor Bahru",N30,Logistics,Y
V2468,Metro Maintenance Co.,MY,MY-9043210080,292461-66-760374,,+60 11-297 1853,"37, Jalan Kenanga, Shah Alam",Net30,Maintenance / Repairs,Y
V2088,BLUEWAVE MARKETING AGENCY,MY,MY-9347720574,,billing@bluewave.marketing.agenc.vendor-mail.com,+60 15-417 9444,"140, Jalan Damai, Petaling Jaya",NET 30,Marketing / Advertising,Y
V2386, BrightSpark Electrical Services ,MY,,276953-16-520515,billing@brightspark.electrical.s.bizmail.co,,"44, Jalan Kenari, Kuala Lumpur",NET 30,Logistics,N
V2187,Skyline Telecom Services,MY,MY-6429425484,699809-87-596025,,+60 12-733 7581,,Net 45,Utilities,Y
V2136,Peninsula Printing & Stationery,MY,MY-1271730355,541557-48-607753,billing@peninsula.printing.stati.bizmail.co,+60 13-838 9123,"51, Jalan Damai, Kuala Lumpur",N30,Office Supplies,N
V2042,metro maintenance co.,MY,MY-1672302490,822858-86-592738,billing@metro.maintenance.co.vendor-mail.com,+60 14-819 8438,,30 Days,Maintenance / Repairs,N
V2443,TealTech Solutions Sdn Bhd,MY,,,billing@tealtech.solutions.sdn.b.bizmail.co,+60 15-967 5029,,NET 30,Software,Y
V2426,Omega  Energy  Solutions,MY,MY-3149340695,249282-57-666692,billing@omega.energy.solutions.vendor-mail.com,+60 16-668 8401,,COD,Maint/Repair,Y
V2225,SilverLine  Security  Services,MY,MY-3837784389,659381-38-243006,billing@silverline.security.serv.bizmail.co,+60 12-405 7113,"3, Jalan Kenari, George Town",N30,Professional Services,Y
V2183,EverClean Facility Management,MY,MY-2664416298,499974-57-295646,billing@everclean.facility.manag.bizmail.co,+60 14-331 5400,"39, Jalan Setia, Cyberjaya",Net30,Office supply,N
V2087,Zenith Catering,MY,MY-5364727160,461551-40-868544,billing@zenith.catering.example.com,+60 15-236 1726,"87, Jalan Setia, Shah Alam",COD,Logistics,Y
V2236,tealtech solutions sdn bhd,MY,MY-9410569618,690982-91-119524,billing@tealtech.solutions.sdn.b.bizmail.co,+60 13-559 8723,"44, Jalan Kenanga, Johor Bahru",N30,Software / Subscription,Y
V2460, SilverLine Security Services ,MY,MY-9944478245,848244-66-247068,billing@silverline.security.serv.bizmail.co,+60 12-958 1295,"46, Jalan Melur, Kuala Lumpur",,Logistics,Y
V2223,BlueWave Marketing Agency,MY,MY-2424706705,,,+60 18-172 4729,"105, Jalan Damai, Johor Bahru",Immediate,Utility,Y
V2065,BrightSpark Electrical Services,MY,MY-1282103057,,billing@brightspark.electrical.s.bizmail.co,+60 19-643 5831,"155, Jalan Damai, Kuala Lumpur",Net30,Maintenance / Repairs,N
V2245,Crescent Media House,MY,MY-5314945131,,billing@crescent.media.house.example.com,+60 15-219 9409,"138, Jalan Kenari, Petaling Jaya",COD,Utility,Y
V2342,SilverLine Security Services,MY,MY-7248493644,837290-61-293929,billing@silverline.security.serv.bizmail.co,+60 10-981 2158,"177, Jalan Melur, George Town",NET 30,Prof Services,Y
V2017,CloudNine Software Pte Ltd,SG,SG-16818112,,billing@cloudnine.software.pte.l.bizmail.co,,"34, Jalan Setia, Petaling Jaya",N30,Logistics,N
V2287,Sunrise Utilities Berhad,MY,,115743-44-533108,billing@sunrise.utilities.berhad.vendor-mail.com,+60 11-281 8197,"126, Jalan Setia, Petaling Jaya",COD,Software,N
V2256,Zenith Catering,MY,,564687-90-232552,,+60 10-135 6846,"84, Jalan Damai, Johor Bahru",,Prof Services,Y
V2095,RapidFix IT Services,MY,MY-4797809576,,billing@rapidfix.it.services.finance-vendors.net,+60 16-943 2208,,Net 45,Professional Services,N
V2349,AlphaOmega Consulting,MY,,,,+60 10-781 6192,"38, Jalan Melur, Johor Bahru",,Software,Y
V2014,NorthStar Logistics,MY,,749468-20-539589,billing@northstar.logistics.bizmail.co,+60 13-785 6147,,Immediate,Software,N
V2145,crescent media house,MY,MY-2816937739,663483-98-776604,billing@crescent.media.house.vendor-mail.com,+60 17-395 3298,,COD,Marketing / Advertising,Y
V2125,Peninsula  Printing  &  Stationery,MY,MY-8081204252,477114-75-621433,billing@peninsula.printing.stati.finance-vendors.net,+60 15-308 7073,"12, Jalan Kenari, Shah Alam",N30,Office supply,N
V2432,Sunrise Utilities Berhad,MY,,804827-97-732262,billing@sunrise.utilities.berhad.example.com,+60 11-230 5253,"59, Jalan Kenari, Cyberjaya",NET-45,Utilities,Y
V2283,metro maintenance co.,MY,MY-1589530134,646012-96-742198,billing@metro.maintenance.co.vendor-mail.com,+60 19-256 7987,"155, Jalan Melur, Johor Bahru",,Maintenance / Repairs,Y
V2146, Vanguard Office Supplies Sdn Bhd ,MY,,688861-74-784793,billing@vanguard.office.supplies.finance-vendors.net,+60 17-600 3740,,NET 30,Office Supplies,Y
V2288,TealTech Solutions Sdn Bhd,MY,MY-6638851791,878533-83-722650,billing@tealtech.solutions.sdn.b.example.com,+60 17-567 1694,"63, Jalan Kenari, George Town",Immediate,Software / Subscription,N
V2070,RapidFix IT Services,MY,MY-1225953184,,billing@rapidfix.it.services.example.com,+60 16-597 8242,"56, Jalan Kenari, Kuala Lumpur",Net 45,Professional Services,Y
V2398,SilverLine  Security  Services,MY,,414985-29-233997,billing@silverline.security.serv.bizmail.co,+60 18-537 5841,"142, Jalan Meranti, Kuala Lumpur",,Office supply,N
V2007,AquaPure Water Filters,MY,,269396-79-916449,billing@aquapure.water.filters.example.com,+60 17-119 2832,"79, Jalan Kenanga, Kuala Lumpur",30 Days,Maintenance / Repairs,Y
V2325,BlueWave Marketing Agency,MY,MY-3763116394,850151-43-208304,,,"199, Jalan Damai, Kuala Lumpur",COD,Marketing / Advertising,Y
V2428,BrightSpark  Electrical  Services,MY,MY-4566962221,393033-65-321092,billing@brightspark.electrical.s.bizmail.co,+60 15-750 5282,"182, Jalan Damai, Petaling Jaya",30 Days,Logistics,Y
V2103,BLUEWAVE MARKETING AGENCY,MY,MY-9327720702,308727-87-633853,billing@bluewave.marketing.agenc.example.com,,,Net 45,Maint/Repair,N
V2096,SilverLine Security Services,MY,MY-3524521602,235300-65-627290,billing@silverline.security.serv.example.com,+60 18-256 5982,,Net 45,Professional Services,Y
V2060,Harbor Freight & Couriers,MY,,527940-45-134305,billing@harbor.freight.couriers.vendor-mail.com,+60 13-975 6942,,Net 45,Marketing,Y
V2235,Harbor Freight and Couriers,MY,MY-7351460539,,,+60 10-349 1706,,N30,Logistics / Delivery,Y
V2234,Zenith Catering,MY,MY-9021793855,605529-87-106918,billing@zenith.catering.vendor-mail.com,+60 13-178 9430,"55, Jalan Kenanga, Shah Alam",N30,Other / Unclear,Y
V2331, NorthStar Logistics ,MY,MY-3644104389,,billing@northstar.logistics.bizmail.co,+60 16-432 2979,"148, Jalan Kenari, Shah Alam",Net 45,Logistics / Delivery,Y
V2092,RapidFix  IT  Services,MY,MY-9729028480,,billing@rapidfix.it.services.bizmail.co,+60 11-687 3255,"102, Jalan Melur, Cyberjaya",NET-45,Professional Services,Y
V2195,EverClean Facility Management,MY,MY-7092693247,137034-84-842464,billing@everclean.facility.manag.vendor-mail.com,+60 13-802 9759,"122, Jalan Setia, Petaling Jaya",,Maintenance / Repairs,Y
V2161,rapidfix it services,MY,MY-9046449694,223791-13-451284,billing@rapidfix.it.services.bizmail.co,+60 14-829 2262,"131, Jalan Melur, Kuala Lumpur",COD,Professional Services,Y
V2226,Omega Energy Solutions,MY,MY-5660584367,,billing@omega.energy.solutions.bizmail.co,+60 18-245 3637,,NET-45,Utilities,Y
V2126,peninsula printing & stationery,MY,,,billing@peninsula.printing.stati.vendor-mail.com,+60 15-363 9005,"165, Jalan Setia, Johor Bahru",COD,Software,Y
V2292,SilverLine Security Services,MY,MY-1871241447,365406-11-580921,billing@silverline.security.serv.finance-vendors.net,+60 10-722 9084,,COD,Utility,N
V2294,NorthStar  Logistics,MY,MY-3414532686,885734-84-477685,billing@northstar.logistics.example.com,+60 15-477 7208,"195, Jalan Damai, George Town",Net30,Prof Services,Y
V2272,Crescent Media House,MY,MY-6213781637,880746-42-477496,billing@crescent.media.house.finance-vendors.net,+60 10-843 1567,"153, Jalan Meranti, George Town",N30,Marketing / Advertising,Y
V2118, BrightSpark Electrical Services ,MY,,906325-27-903028,billing@brightspark.electrical.s.finance-vendors.net,+60 16-559 7184,"175, Jalan Setia, George Town",N30,Logistics,Y
V2168,Skyline Telecom Services,MY,MY-6186758088,377880-25-194813,,+60 19-141 4522,"84, Jalan Kenanga, Kuala Lumpur",30 Days,Prof Services,Y
V2164,ALPHAOMEGA CONSULTING,MY,MY-5329194647,,billing@alphaomega.consulting.bizmail.co,+60 13-575 7033,"127, Jalan Kenanga, Cyberjaya",,Professional Services,Y
V2067,rapidfix it services,MY,MY-5819946657,797660-64-856086,,+60 14-460 2697,"55, Jalan Kenanga, Cyberjaya",COD,Professional Services,Y
V2495,BlueWave Marketing Agency,MY,MY-9576178517,635392-36-821347,,+60 13-137 4081,,30 Days,Marketing / Advertising,Y
V2105,AlphaOmega Consulting,MY,,422623-98-759827,,+60 19-691 4728,"150, Jalan Damai, Shah Alam",,Logistics,Y
V2045,Omega Energy Solutions,MY,MY-6047405755,563711-45-290305,billing@omega.energy.solutions.finance-vendors.net,+60 17-193 8700,"86, Jalan Melur, Cyberjaya",Net30,Utilities,Y
V2037, EverClean Facility Management ,MY,MY-5694628398,,billing@everclean.facility.manag.bizmail.co,+60 15-584 9698,"191, Jalan Kenari, Petaling Jaya",Net 45,Logistics,Y
V2200,BLUEWAVE MARKETING AGENCY,MY,MY-7823288650,,billing@bluewave.marketing.agenc.bizmail.co,+60 17-845 9524,"87, Jalan Damai, Cyberjaya",N30,Prof Services,Y
V2002,Crescent Media House,MY,MY-8429141456,496922-20-678856,billing@crescent.media.house.bizmail.co,+60 11-146 4733,"21, Jalan Kenanga, Kuala Lumpur",Immediate,Prof Services,Y
V2260,SilverLine Security Services,MY,MY-3113106808,259540-16-660957,,+60 14-375 3048,"187, Jalan Meranti, Shah Alam",Net30,Professional Services,N
V2074,AQUAPURE WATER FILTERS,MY,MY-2458198451,276299-19-635280,billing@aquapure.water.filters.vendor-mail.com,+60 15-459 3419,,N30,Maintenance / Repairs,Y
V2334,metro maintenance co.,MY,MY-9751516468,,billing@metro.maintenance.co.example.com,+60 14-456 7861,,30 Days,Maintenance / Repairs,Y
V2171,ALPHAOMEGA CONSULTING,MY,,276149-83-554197,billing@alphaomega.consulting.finance-vendors.net,+60 16-799 7990,,30 Days,Software,Y
V2172,silverline security services,MY,,357724-92-409440,billing@silverline.security.serv.finance-vendors.net,,"36, Jalan Damai, Shah Alam",,Professional Services,N
V2186,Skyline Telecom Services,MY,MY-7527011028,112964-99-753323,billing@skyline.telecom.services.finance-vendors.net,,,Net30,Utilities,Y
V2469,AQUAPURE WATER FILTERS,MY,MY-7301035934,,,+60 19-354 5966,"115, Jalan Setia, Shah Alam",NET-45,Maint/Repair,Y
V2114,CloudNine  Software  Pte  Ltd,SG,,445637-48-710754,billing@cloudnine.software.pte.l.example.com,+65 7472 4871,,Net30,Utility,Y
V2483,CloudNine Software PTE. LTD.,SG,SG-26521948,660509-91-860652,billing@cloudnine.software.pte.l.bizmail.co,+65 9816 2059,"97, Jalan Setia, Cyberjaya",Immediate,Logistics,Y
V2351,NorthStar Logistics,MY,MY-1172146239,222553-49-126000,billing@northstar.logistics.vendor-mail.com,+60 11-434 1901,"50, Jalan Kenari, George Town",30 Days,Maint/Repair,Y
V2137,AlphaOmega Consulting,MY,MY-8998080862,551533-93-723266,,+60 13-590 6147,,Immediate,Prof Services,N
V2267,SilverLine Security Services,MY,MY-7468039211,119629-89-998450,billing@silverline.security.serv.vendor-mail.com,+60 11-774 9830,"49, Jalan Kenari, Cyberjaya",COD,Professional Services,Y
V2314,Harbor Freight & Couriers,MY,,866418-40-846722,billing@harbor.freight.couriers.finance-vendors.net,+60 19-475 1548,"146, Jalan Damai, Cyberjaya",Net 45,Office supply,Y
V2362,Sunrise Utilities Berhad,MY,MY-3632627835,171656-22-959398,billing@sunrise.utilities.berhad.example.com,+60 13-388 3814,"138, Jalan Meranti, Cyberjaya",Net30,Software,Y
V2023,AlphaOmega  Consulting,MY,MY-3381183483,,billing@alphaomega.consulting.finance-vendors.net,+60 12-730 5930,"1, Jalan Melur, Petaling Jaya",30 Days,Utility,N
V2301,aquapure water filters,MY,,868020-77-425434,billing@aquapure.water.filters.vendor-mail.com,+60 11-941 9456,"34, Jalan Kenanga, Cyberjaya",NET 30,Utility,Y
V2306,Metro Maintenance Co.,MY,,370587-56-511122,,+60 15-907 6320,"8, Jalan Meranti, Johor Bahru",Net30,Prof Services,N
V2354,EverClean Facility Management,MY,MY-8542452431,,billing@everclean.facility.manag.bizmail.co,+60 18-573 3243,,Immediate,Prof Services,Y
V2001,Skyline Telecom Services,MY,MY-2801823908,391704-10-895667,billing@skyline.telecom.services.finance-vendors.net,+60 12-320 6514,,Immediate,Office supply,Y
V2484,Metro Maintenance Co.,MY,,,,+60 13-862 2902,"33, Jalan Melur, Johor Bahru",NET 30,Maintenance / Repairs,Y
V2075,crescent media house,MY,MY-3815389788,,billing@crescent.media.house.finance-vendors.net,+60 19-878 8354,"145, Jalan Setia, Cyberjaya",Net 45,Maint/Repair,Y
V2055,Omega Energy Solutions,MY,MY-2268006448,790203-60-387813,,+60 10-720 9138,"74, Jalan Kenanga, George Town",Net 45,Utilities,Y
V2169,Peninsula Printing & Stationery,MY,MY-1746756255,996114-67-682959,billing@peninsula.printing.stati.vendor-mail.com,,,N30,Office Supplies,Y
V2191,EverClean Facility Management,MY,MY-2478538226,371224-98-194782,billing@everclean.facility.manag.finance-vendors.net,,"55, Jalan Kenanga, Cyberjaya",30 Days,Maintenance / Repairs,Y
V2392,TealTech Solutions SDN. BHD.,MY,,271499-69-557629,,+60 17-141 8233,"182, Jalan Kenari, Johor Bahru",COD,Software / Subscription,Y
V2036,EverClean Facility Management,MY,MY-6404582459,,billing@everclean.facility.manag.bizmail.co,+60 18-295 2402,,Immediate,Maintenance / Repairs,N
V2332,omega energy solutions,MY,MY-5813565243,,billing@omega.energy.solutions.bizmail.co,+60 17-349 1666,,Immediate,Utilities,Y
V2394,AlphaOmega Consulting,MY,MY-5818914408,211222-51-261245,,+60 17-564 5412,"2, Jalan Melur, Kuala Lumpur",COD,Professional Services,Y
V2138,Omega Energy Solutions,MY,MY-8670238355,691240-35-720995,billing@omega.energy.solutions.vendor-mail.com,+60 18-127 8563,"54, Jalan Damai, Petaling Jaya",Net30,Maint/Repair,N
V2159,Skyline Telecom Services,MY,MY-2191714875,636141-36-947312,,+60 19-749 2083,"112, Jalan Setia, Shah Alam",NET 30,Utilities,N
V2371,RapidFix IT Services,MY,MY-3508119100,755520-53-499060,,+60 15-521 6755,,30 Days,Professional Services,Y
V2211,SilverLine Security Services,MY,MY-7246858055,749863-86-596116,billing@silverline.security.serv.bizmail.co,+60 11-199 4633,,Net 45,Maint/Repair,Y
V2298,Sunrise Utilities Berhad,MY,MY-8183216649,935981-14-777015,,+60 17-985 9797,"119, Jalan Damai, Cyberjaya",NET 30,Maint/Repair,Y
V2107,Skyline Telecom Services,MY,MY-6913417379,581992-78-458955,billing@skyline.telecom.services.bizmail.co,+60 13-352 5571,"58, Jalan Melur, Petaling Jaya",30 Days,Logistics,Y
V2321,NorthStar Logistics,MY,MY-6974959934,885478-40-869983,billing@northstar.logistics.vendor-mail.com,+60 12-420 9972,,NET 30,Logistics / Delivery,Y
V2151,BrightSpark  Electrical  Services,MY,MY-6880115912,443187-84-102593,billing@brightspark.electrical.s.example.com,+60 17-750 6869,"137, Jalan Damai, Shah Alam",Immediate,Maintenance / Repairs,N
V2318,rapidfix it services,MY,MY-4009805180,938202-77-134697,billing@rapidfix.it.services.example.com,+60 19-941 3525,"193, Jalan Damai, Johor Bahru",30 Days,Logistics,Y
V2452,Skyline Telecom Services,MY,MY-5846207636,110151-73-949767,billing@skyline.telecom.services.bizmail.co,+60 16-535 7608,"177, Jalan Kenari, Petaling Jaya",Net 45,Utilities,Y
V2170,metro maintenance co.,MY,,819622-90-776001,,+60 11-122 2056,,COD,Maintenance / Repairs,Y
V2054,SilverLine Security Services,MY,MY-3347621138,,billing@silverline.security.serv.bizmail.co,+60 16-806 5097,"78, Jalan Kenanga, Johor Bahru",COD,Professional Services,N
V2312,Zenith  Catering,MY,MY-6039758047,,billing@zenith.catering.bizmail.co,+60 12-395 3056,,Net30,Other / Unclear,Y
V2370,Skyline Telecom Services,MY,MY-7312821876,263903-74-158444,billing@skyline.telecom.services.finance-vendors.net,+60 16-731 6779,"73, Jalan Melur, Kuala Lumpur",NET 30,Utilities,Y
V2413,RapidFix IT Services,MY,MY-2295067571,,billing@rapidfix.it.services.vendor-mail.com,+60 18-390 4501,,,Prof Services,Y
V2357,Sunrise Utilities Berhad,MY,MY-2528941040,,billing@sunrise.utilities.berhad.example.com,+60 12-883 2548,"43, Jalan Kenari, Petaling Jaya",Net 45,Maint/Repair,Y
V2239,RapidFix IT Services,MY,MY-3474420092,366881-71-903061,billing@rapidfix.it.services.example.com,+60 18-518 5223,,NET 30,Professional Services,Y
V2474,NORTHSTAR LOGISTICS,MY,MY-9232949182,714633-20-643725,billing@northstar.logistics.finance-vendors.net,+60 16-358 5951,"137, Jalan Setia, Johor Bahru",NET-45,Logistics,Y
V2259,CLOUDNINE SOFTWARE PTE LTD,SG,SG-42153442,938817-88-946803,billing@cloudnine.software.pte.l.bizmail.co,+65 9043 9715,"106, Jalan Kenanga, Kuala Lumpur",N30,Software,Y
